,0,1,2
0,Tokyo,27,No data
1,Yokohama,27,No data
2,Osaka,27,No data
3,Nagoya,27,No data
4,Sapporo,22,No data
5,Kobe,27,No data
6,Kyoto,26,No data
7,Fukuoka,25,No data
8,Kawasaki,27,No data
9,Saitama,27,No data
10,Hiroshima,25,No data
11,Yono,27,No data
12,Sendai,25,No data
13,Sendai Airport,25,No data
14,Kitakyushu,26,No data
15,Chiba,26,No data
16,Sakai,27,No data
17,Shizuoka,26,No data
18,Kumamoto,25,No data
19,Okayama,26,No data
20,Hamamatsu,26,No data
21,Hachiōji,26,No data
22,Funabashi,26,No data
23,Kagoshima,25,No data
24,Niigata,25,No data
25,Himeji,26,No data
26,Matsudo,26,No data
27,Nishinomiya,27,No data
28,Kawaguchi,27,No data
29,Kanazawa,26,No data
30,Utsunomiya,25,No data
31,Ōita,25,No data
32,Matsuyama,25,No data
33,Amagasaki,27,No data
34,Kurashiki,26,No data
35,Yokosuka,26,No data
36,Nagasaki,26,No data
37,Hirakata,27,No data
38,Machida,27,No data
39,Gifu City,26,No data
40,Fujisawa,27,No data
41,Toyonaka,27,No data
42,Fukuyama,25,No data
43,Toyohashi,27,No data
44,Shimminatocho,25,No data
45,Nara,26,No data
46,Toyota,26,No data
47,Nagano,23,No data
48,Shinagawa,27,No data
49,Iwaki,25,No data
50,Asahikawa,17,No data
51,Takatsuki,27,No data
52,Okazaki,27,No data
53,Suita,27,No data
54,Wakayama,25,No data
55,Koriyama,23,No data
56,Kashiwa,26,No data
57,Tokorozawa,27,No data
58,Kawagoe,27,No data
59,Kochi,25,No data
60,Takamatsu,26,No data
61,Akita-shi,25,No data
62,Toyama,26,No data
63,Akita,25,No data
64,Koshigaya,27,No data
65,Miyazaki,25,No data
66,Naha,26,No data
67,Kasugai,27,No data
68,Aomori,23,No data
69,Ōtsu,26,No data
70,Akashi,27,No data
71,Yokkaichi,26,No data
72,Morioka,23,No data
73,Fukushima,24,No data
74,Tsu,24,No data
75,Ichihara,25,No data
76,Maebashi,25,No data
77,Ichinomiya,26,No data
78,Tokyo International Airport,27,No data
79,Hakodate,22,No data
80,Ibaraki,27,No data
81,Yao,27,No data
82,Kakogawa,27,No data
83,Tokushima,25,No data
84,Hiratsuka,26,No data
85,Yamagata,23,No data
86,Fukui,25,No data
87,Mito-shi,25,No data
88,Shimonoseki,26,No data
89,Takasaki,25,No data
90,Fuji,25,No data
91,Hachinohe,22,No data
92,Neyagawa,25,No data
93,Kurume,25,No data
94,Sasebo,24,No data
95,Chigasaki,27,No data
96,Soka,27,No data
97,Atsugi,26,No data
98,Minami-rinkan,27,No data
99,Takarazuka,27,No data
